strategy,model,train_time,infer_time,metrics.accuracy,metrics.f1,metrics.auc,metrics.demographic_parity_diff,metrics.equalized_odds_diff
basic,lr,0.03497886657714844,0.008441448211669922,0.48513674197384066,0.4818522785566345,0.4821983273596177,0.10920427553444179,0.1104344318321886
basic,rf,0.4997127056121826,0.03354167938232422,0.5017835909631391,0.5016849594992492,0.5008016797098683,0.052284809410700184,0.10980693163609467
